age,income,loan_amount,credit_limit,current_balance,credit_history_start,num_credit_lines,defaulted
56,75761,47877,68315,14794,2001,1,0
26,82552,33007,76344,59002,2019,8,0
51,140075,1661,11796,36531,2002,8,0
39,97454,45843,91716,53815,1982,6,0
64,146522,31137,59245,5986,2019,4,0
59,138681,48556,48056,33298,1989,3,0
47,110600,43828,22709,2481,2004,3,0
30,142732,49604,63557,57408,1987,6,1
46,132153,11526,22543,70267,1990,8,1
39,142926,4374,42418,17835,1984,7,0
59,47935,26592,99611,28798,2016,1,0
23,57641,29982,21724,65887,2017,6,0
65,49711,1207,8828,20477,2008,7,0
33,90342,36433,22087,18266,1984,7,1
48,126896,24197,17605,87328,1988,9,0
40,32182,34400,36337,86988,1981,5,0
48,107833,4083,10482,44526,1980,1,1
28,76276,30328,70333,12889,2019,2,1
61,39541,47479,97541,25335,2009,4,0
59,114457,43891,93296,12254,1990,5,0
21,102310,21103,55952,87610,2007,9,0
23,64813,40891,10463,12442,1991,1,0
33,57198,11754,75448,47289,2018,3,1
48,28820,35447,9648,54747,2005,5,1
69,44070,16901,38623,38327,1992,3,0
45,89768,34004,64156,17199,1987,4,0
53,31122,8446,40634,73827,2007,3,1
58,100559,38211,49602,1112,2009,4,0
26,93543,49231,54334,88051,1988,1,0
64,103441,30301,73648,20581,2018,8,0
65,61786,27116,27054,60722,2010,4,0
52,114934,42323,75028,17523,2000,7,0
65,119804,19752,27207,67960,2013,2,0
67,26737,33376,85650,20552,2010,2,0
41,56062,17669,86554,11808,2004,6,0
36,74237,33916,26386,73525,1991,2,0
41,71571,14395,88276,24620,1980,6,0
31,45510,21421,64518,1887,2001,2,0
57,39426,27342,57781,32802,2019,4,1
56,57265,5895,57780,86024,2016,7,0
55,37850,12023,66440,82938,1980,8,0
39,138249,11699,49199,87741,1980,3,0
40,86150,10715,66035,27049,2021,9,1
38,107312,20169,13210,78789,2021,2,0
67,109613,17163,49363,85526,2000,8,0
61,94910,6782,83279,8846,1994,8,0
69,72375,23641,65348,47220,1996,4,0
34,141826,19792,60284,47163,2001,1,0
35,55435,36585,77124,4765,2017,1,0
51,116443,31682,73847,82486,2014,2,0
21,77132,48864,27432,46270,1995,9,0
23,98945,19880,69089,76277,1987,2,0
36,102050,39067,60398,89278,1996,2,0
43,149828,43685,8321,23931,1996,6,0
31,115402,19073,86348,56633,2005,7,0
32,22983,37035,42383,81702,1992,7,0
30,117241,38174,83682,52913,1996,9,0
52,40662,25837,84190,26991,2017,6,0
36,43510,18826,57893,55845,1996,8,1
28,98187,25981,40820,56312,1993,6,1
58,60998,11382,71262,11561,1985,2,0
32,76846,5437,8760,17901,2014,1,0
44,114071,6435,27190,63875,1993,5,0
48,26640,25819,72411,26917,1987,9,1
28,64547,37875,28377,63120,1994,8,0
48,74620,32982,51737,2988,2006,4,0
56,35317,34328,74569,15256,1992,5,0
46,135608,13329,43211,88728,2010,5,0
28,27564,26169,87909,29230,2014,6,1
48,47345,22932,8744,60778,1985,3,0
48,133824,35594,29995,46833,1984,5,0
57,114223,12421,21977,23625,2001,2,1
61,143372,46033,39542,33088,2002,1,0
56,99273,8629,15651,80650,2004,1,0
47,94859,9325,83931,42167,2013,7,0
37,100765,29495,21715,72291,2005,2,1
29,130017,32750,49409,66303,1984,4,0
53,94038,30619,29306,77361,2005,5,0
40,143618,41461,24086,89229,1999,7,0
33,72393,9264,19376,5117,1985,2,0
48,86081,13686,66350,61710,1985,6,0
68,145341,47484,76425,68054,1997,1,0
49,122650,25226,41636,31949,1983,7,0
33,49430,7721,91120,23547,1996,9,1
66,95532,21609,56649,82882,1993,5,0
55,47788,8373,39610,69136,1993,5,0
26,115505,39675,15058,65619,1992,4,0
38,68543,49895,79637,62842,1986,3,0
25,33919,29937,83033,27990,1994,9,1
67,89346,6656,75194,17193,1998,5,0
45,116122,9984,81917,31109,2014,8,0
22,59974,30984,69200,20233,1996,9,0
30,127309,9286,51619,82730,2014,5,0
50,36371,6901,22154,35510,1998,9,0
65,65084,32552,24539,2306,1999,2,0
25,49629,26709,65058,4849,2015,9,0
53,71184,32055,67068,13360,2014,4,0
21,81916,38685,82313,46800,2011,6,0
38,147293,9429,35373,37963,2019,6,0
52,93972,15716,38154,55330,2003,6,1
67,82187,49563,11031,52707,1996,2,0
69,32984,12138,98533,19689,1986,7,0
31,53039,36298,76975,30084,1980,6,0
41,105431,24429,27785,41387,2014,1,0
46,103691,6772,83928,75816,2011,2,0
45,78606,49244,33669,3642,2015,7,1
42,30616,49519,99475,43137,1992,1,0
47,122665,36732,7282,80832,1985,1,1
69,125373,40905,39624,56561,1993,1,0
33,70072,18347,53438,63260,2016,8,0
53,44574,17920,94900,16438,1994,4,1
54,23430,32822,72534,49442,1983,4,0
61,139123,47659,36705,3994,2019,2,1
55,32676,41108,43244,2813,1995,1,0
21,30816,24563,79964,85381,2007,9,1
41,52733,8967,42437,56276,1995,7,0
68,105680,46183,82872,42243,1983,4,0
26,22050,12871,79878,63912,2005,6,0
48,129996,29763,77982,61272,2007,2,0
37,53933,12916,55583,43051,2011,7,0
25,44951,9734,43392,79854,1981,2,0
51,52413,34613,12461,83736,2010,8,0
25,54801,29179,15516,66618,1982,8,0
58,75619,36262,84285,2920,1987,1,0
23,52913,13677,22514,78219,2003,8,0
43,132573,19268,41268,77872,1994,2,0
57,139076,13330,95486,82132,2010,6,0
57,60600,21733,41788,3093,1988,1,0
30,77775,38947,80749,13905,2018,5,0
30,110816,28286,66049,25351,1981,7,0
39,149972,7610,67493,31981,1987,1,1
37,110093,7430,41027,74903,1986,2,1
41,132590,40922,98547,71821,2018,7,0
34,55400,14828,47849,83289,2021,6,0
29,24494,43913,22858,85021,1995,3,0
66,100688,32497,89162,79513,2014,2,0
21,142744,40256,84003,20874,2009,4,0
65,109431,37618,57395,51931,1989,3,0
33,94691,47332,44758,8674,2017,7,0
24,117419,27526,59312,51516,1997,8,0
21,128730,31158,73670,61686,1984,2,0
69,63001,26032,87279,70212,2008,7,1
60,87364,38846,20434,3426,2018,8,0
52,144988,45936,69047,69498,2013,6,1
54,65028,30794,52775,30943,2002,6,1
48,127434,6448,80769,67395,1984,1,0
51,117659,29861,71677,45816,2009,4,0
28,57573,29141,88555,5138,1985,1,0
59,20806,10074,90920,76945,1983,4,1
46,144343,7406,50734,5017,2008,2,1
54,76638,32823,93503,11451,2002,5,0
23,148301,24291,45603,63956,1985,9,0
32,146295,42568,81708,11278,2011,3,0
21,126506,33003,86926,44764,2021,8,0
64,49757,47851,73803,2134,1997,3,0
25,54636,35406,44332,63943,1994,6,1
50,100097,24312,96703,55318,2019,4,0
50,68280,44108,26312,61128,2011,8,0
37,44262,2382,98376,89056,1988,6,0
68,100435,35171,89526,22869,2016,8,0
67,82211,42779,49179,6039,1989,1,0
43,74842,4292,76442,22281,1999,6,0
35,148583,42779,45379,11442,1985,1,1
57,76979,34187,22297,74788,1982,1,1
41,134524,13411,7011,28586,2021,8,0
34,101470,38285,49014,54053,1990,7,1
22,58197,16422,16738,51489,1996,3,0
31,61844,43468,99333,84104,2011,6,0
59,84754,33371,52498,87346,1983,9,0
58,121868,6693,16120,68087,1983,7,0
54,54157,34535,13767,13625,1996,3,1
58,97129,15818,27852,35397,2020,6,0
54,60042,32238,84239,59671,1998,4,0
38,81665,31874,5929,67897,1984,3,0
50,135512,27715,82487,27149,2011,9,0
35,136953,28605,96575,61030,2001,2,0
47,102856,35317,22438,70906,1985,1,0
54,47376,32174,53515,6283,2014,2,0
58,129049,10956,10744,8610,2001,7,0
53,75554,39908,88820,44326,1980,1,1
44,34199,11837,47417,15924,1999,6,0
35,138533,4716,12069,77162,2001,7,0
50,101412,5481,47359,1869,1990,9,0
62,70948,25282,24799,2014,1992,8,0
37,93781,7548,98762,11103,2021,6,0
25,92750,38605,75188,83522,1982,3,0
49,86262,8758,94859,34458,1988,8,1
24,137424,44668,12597,83409,1991,7,0
30,66600,24177,52093,24248,2002,3,1
37,96898,25022,42226,44516,1993,9,1
30,82483,41761,77127,30061,2012,2,0
37,38297,6542,96369,25170,1997,3,0
40,50448,26476,82362,9024,2020,2,0
44,46172,31784,31417,83214,1988,1,1
25,62874,23740,23693,86947,2002,4,1
54,27657,25817,84674,44803,1989,5,0
26,104386,48596,58161,20296,1998,6,0
22,145617,17052,7169,87664,1984,5,0
33,45425,36153,89092,19257,2002,1,1
63,46685,48076,27052,13855,2009,3,1
63,142000,1671,76849,86178,2004,1,0
68,132855,1163,78851,21025,2007,5,0
31,44578,42424,13036,5458,2013,5,0
67,48831,45002,36778,64610,2004,6,0
43,27906,5795,32734,71843,1989,8,1
36,81413,11634,28173,84961,1993,1,0
51,74028,5798,35403,50831,2021,4,0
31,27287,23420,71321,44427,2009,1,0
36,53660,30300,76675,39506,2020,9,1
28,95758,25345,11344,6668,2004,7,0
24,80504,11749,23800,48195,1993,7,0
60,79720,39595,30372,74233,2014,5,0
24,122979,26121,66516,25417,2013,7,1
45,54701,38487,25538,82982,1989,2,1
23,103300,29411,68918,11751,2014,4,0
52,130177,34361,19973,47218,1990,7,0
23,37674,22223,76155,8352,1990,3,0
47,103560,8394,64500,80052,2000,2,0
49,131543,15056,41575,89835,2000,2,0
52,43874,29380,47261,29927,2001,1,1
39,63642,27035,32716,42094,1986,5,0
41,143867,31620,8236,55122,1996,6,1
25,117820,20877,20848,30493,1981,6,0
38,85160,44404,7352,74539,1991,9,0
48,37602,31911,6932,32707,2021,4,0
62,123320,33784,81449,69814,1997,1,0
42,108801,4191,13556,8296,1990,6,0
41,45931,34160,91836,26398,1995,5,0
26,114377,26000,10498,36842,1997,6,0
21,49192,40040,81118,14261,2014,3,0
25,66542,4631,55098,77709,2005,2,0
61,147015,7172,69386,57704,1995,6,1
32,62520,43080,14569,68173,1985,1,0
46,84772,24561,61882,32781,2021,7,1
66,78762,25817,75393,14652,1991,7,0
54,70106,21281,5340,6103,1992,7,0
69,101121,29671,48949,26500,1983,1,0
34,45559,26364,87302,36529,2018,4,1
46,125595,42674,67443,19452,1981,7,0
65,53742,28425,96668,50393,2005,9,0
47,89669,29602,79027,32174,2006,5,0
29,100199,24253,5138,65450,2006,2,0
46,41754,24472,5358,36436,1994,7,0
67,23972,9080,80250,48406,1987,1,0
42,90831,8099,90376,64059,1986,7,0
67,132217,26431,35654,16954,2019,6,1
50,61873,32186,30879,83722,1991,7,0
63,114661,48684,86532,13356,1992,3,0
68,126532,31111,60778,3187,1996,3,0
37,146267,40851,42772,78243,1996,7,0
46,29903,23614,63478,36098,2015,2,0
56,23020,27724,69353,22225,2000,1,0
21,61755,42991,31762,4606,1987,9,1
28,105956,5940,18283,58620,1984,9,1
69,106988,29758,68922,33828,2005,7,1
55,65648,37224,44420,27489,1995,7,0
35,123537,8788,60568,15387,2015,3,0
67,145991,29082,90090,70463,2007,2,0
42,29516,25034,25219,72832,2008,7,0
34,132863,36479,62169,3591,1991,9,0
46,135005,12280,79965,49516,2016,1,0
48,22396,19052,51840,63061,2009,4,0
43,104082,17531,49695,67736,2002,6,0
34,39129,23804,89754,82257,1995,7,0
44,148322,29903,82988,62753,1993,7,0
22,21591,45857,63342,85774,1989,2,0
65,31303,11142,23951,12087,1986,4,0
46,50561,49355,6307,31816,2016,5,0
34,91719,10866,85388,24408,2008,1,0
27,138618,5531,95768,1136,1982,1,1
23,112108,46454,40428,18413,1994,3,0
67,148748,39098,97021,60500,2015,3,0
43,119616,39278,80774,85514,1998,8,0
66,144165,29138,43975,57358,1992,9,0
63,106231,28065,6140,67197,2021,1,1
67,27314,30956,29842,33854,2000,2,0
65,137071,42732,31421,77240,2016,2,0
38,39623,40261,6708,17322,2006,4,1
58,87675,11759,8630,7968,2008,2,0
55,132992,6439,24595,28518,1999,7,0
35,116826,48241,81021,52925,2004,9,0
45,85082,43533,33308,60848,1985,7,0
57,149839,29270,49789,2700,2015,6,0
48,103624,14279,60690,24199,1981,1,0
30,125228,40279,31086,45589,2001,9,1
59,53130,45251,21859,33115,2011,5,0
37,71756,24888,12684,62934,1995,5,0
59,117624,18630,96088,55316,1997,6,0
42,46292,36144,6207,6520,1984,9,1
46,131785,32182,51099,37455,2015,8,1
64,147331,26538,72496,87465,2009,8,0
45,106206,12824,71093,42605,1998,8,0
37,89274,33125,34689,15955,2002,1,0
33,22469,7979,53651,45049,2013,1,0
40,73947,27189,18893,14917,1992,8,0
45,42534,43600,71418,71293,2008,5,0
24,83620,13504,65011,79581,2015,9,0
30,68874,21669,43635,65925,2001,2,1
23,69708,7910,61115,71269,2015,9,0
61,94553,47857,83405,31954,1988,8,1
65,88344,35964,77702,73617,2018,9,0
38,69138,21131,83518,42458,1998,4,0
67,74302,26227,77805,22113,2017,1,0
56,67638,6978,63954,44939,1985,1,0
67,98249,22991,33064,30345,1994,5,0
42,125865,18153,84063,47313,1999,2,0
54,22719,34548,7454,70166,1988,8,0
67,42890,43676,25878,48861,2011,5,0
28,97236,40071,56098,50298,1983,5,0
60,56509,48454,67154,48221,1997,2,0
69,62534,4983,17991,45942,1984,7,0
64,122302,10503,73344,4453,1999,8,0
39,112241,30921,41593,55935,2002,1,1
62,38787,17905,41304,44370,1990,2,0
61,146209,46838,35386,9328,2016,4,0
57,68845,24953,60220,16534,2001,5,0
26,77932,27806,74338,86280,1983,2,0
46,112124,46000,99289,85925,2008,1,1
54,111659,23168,26083,37320,2013,9,0
65,53062,5583,23354,50170,1992,1,0
26,95713,39714,27190,81201,2021,4,0
57,107263,40896,11142,9640,1988,2,0
53,115756,12889,33398,31049,2021,4,1
42,80461,28413,56971,6618,2010,8,0
41,95418,13275,46862,57053,1986,8,0
26,86672,3461,58410,2920,1983,9,0
26,148232,15291,24503,44937,1998,5,0
68,54832,47804,53456,70724,2021,7,0
24,147335,12435,87035,13207,2009,3,0
50,51966,28935,13016,66774,2010,4,0
31,92545,34453,7384,33972,2014,9,1
50,32987,19544,67320,11799,2000,1,0
51,57311,13258,20072,72088,2010,2,0
44,51575,31841,85018,29916,1998,5,0
29,83852,49758,45510,71463,2010,3,1
23,147650,11736,53933,77700,2011,2,0
51,21007,38643,26826,38158,1981,1,0
60,90981,44950,73026,85607,1989,3,0
